name,title,parent,position
142-225,The 5th Need,courses_PLO3,
142-234,Life is Beautiful,courses_PLO4,
142-121,The Future Earth,courses_PLO5,
142-124,Creative Problem Solving,courses_PLO5,
142-129,Organic Thinking,courses_PLO5,
142-111,English Booster,courses_PLO6,
142-112,English On Air,courses_PLO6,
142-115,English for Basic IT,courses_PLO6,
142-116,English Pronunciation,courses_PLO6,
142-117,Advanced Writing,courses_PLO6,
142-118,Academic English: Listening and Speaking,courses_PLO6,
142-119,Academic English: Reading and Writing,courses_PLO6,
142-211,English Everyday,courses_PLO6,
142-212,English for Personality and Development,courses_PLO6,
142-214,Media Language and Art of Storytelling,courses_PLO6,
142-215,Public Speaking,courses_PLO6,
142-224,Creative Medias for Academic Presentation,courses_PLO6,
142-226,Creative Presentation Design for Conference and Communication,courses_PLO6,
142-228,Basic Product Design Branding,courses_PLO6,
142-238,Learn to Roam,courses_PLO6,
142-372,Business Intelligence,courses_PLO6,
142-373,Digital Research for Creative Media,courses_PLO6,
142-111,English Booster,courses_PLO7,
142-112,English On Air,courses_PLO7,
142-115,English for Basic IT,courses_PLO7,
142-121,The Future Earth,courses_PLO7,
142-124,Creative Problem Solving,courses_PLO7,
142-135,Paper Craft,courses_PLO7,
142-136,Sculpture,courses_PLO7,
142-137,Everyone Can Draw,courses_PLO7,
142-138,The Sound of Musics,courses_PLO7,
142-139,Through The World of Art,courses_PLO7,
142-211,English Everyday,courses_PLO7,
142-212,English for Personality and Development,courses_PLO7,
142-214,Media Language and Art of Storytelling,courses_PLO7,
142-215,Public Speaking,courses_PLO7,
142-225,The 5th Need,courses_PLO7,
142-226,Creative Presentation Design for Conference and Communication,courses_PLO7,
142-227,Youtube Maketing and Viral Videography,courses_PLO7,
142-228,Basic Product Design Branding,courses_PLO7,
142-229,Online Advertising Management,courses_PLO7,
142-234,Life is Beautiful,courses_PLO7,
142-237,The Designers and Their Black Attires,courses_PLO7,
142-238,Learn to Roam,courses_PLO7,
142-239,Art of Living,courses_PLO7,
142-257,Research Methodology,courses_PLO7,
142-335,Benefit of Mandkind,courses_PLO7,
142-351,Project Management,courses_PLO7,
142-361,Entrepreneurship,courses_PLO7,
142-362,Socialization and Etiquette,courses_PLO7,
142-366,Digital Software and Application,courses_PLO7,
142-367,Design Thinking,courses_PLO7,
142-368,Digital Design Services,courses_PLO7,
142-371,Digital Data Management and Data Analytics,courses_PLO7,
142-372,Business Intelligence,courses_PLO7,
142-373,Digital Research for Creative Media,courses_PLO7,
142-374,Digital Technology for Creative Media,courses_PLO7,
142-121,The Future Earth,courses_PLO8,
142-124,Creative Problem Solving,courses_PLO8,
142-141,Digital Drawing,courses_PLO8,
142-142,Basic Programming,courses_PLO8,
142-143,Principle of Art and Design,courses_PLO8,
142-144,Principles of Layout and Idea Generation,courses_PLO8,
142-145,Script Writing and Storyboarding,courses_PLO8,
142-150,Objected Oriented Programming,courses_PLO8,
142-154,Database System,courses_PLO8,
142-224,Creative Medias for Academic Presentation,courses_PLO8,
142-225,The 5th Need,courses_PLO8,
142-226,Creative Presentation Design for Conference and Communication,courses_PLO8,
142-227,Youtube Maketing and Viral Videography,courses_PLO8,
142-229,Online Advertising Management,courses_PLO8,
142-241,Principles of Web Technology,courses_PLO8,
142-242,Digital Photography,courses_PLO8,
142-247,Fundamental of 3D Modeling,courses_PLO8,
142-251,Fundamental 3D Animation,courses_PLO8,
142-252,Game Design,courses_PLO8,
142-253,Motion Graphic Design,courses_PLO8,
142-255,Responsive Web Design,courses_PLO8,
142-256,Digital 2D Animation,courses_PLO8,
142-257,Research Methodology,courses_PLO8,
142-258,Cross-Platform Mobile Application Development,courses_PLO8,
142-259,User Experience and User Interface,courses_PLO8,
142-350,Seminar in Digital Media I,courses_PLO8,
142-351,Project Management,courses_PLO8,
142-355,Project in Digital Media and Animation I,courses_PLO8,
142-357,Backend Web Programming,courses_PLO8,
142-358,Seminar in Digital Media II,courses_PLO8,
142-359,Shading Lighting and Rendering,courses_PLO8,
142-360,Game Script Writing,courses_PLO8,
142-361,Entrepreneurship,courses_PLO8,
142-363,Anatomy for Animation,courses_PLO8,
142-364,3D Shaping and Sculpting,courses_PLO8,
142-365,Graphic Programming,courses_PLO8,
142-366,Digital Software and Application,courses_PLO8,
142-370,Digital Innovative for New Media Creation,courses_PLO8,
142-371,Digital Data Management and Data Analytics,courses_PLO8,
142-372,Business Intelligence,courses_PLO8,
142-373,Digital Research for Creative Media,courses_PLO8,
142-374,Digital Technology for Creative Media,courses_PLO8,
142-375,Digital Matte Painting,courses_PLO8,
142-377,Cinematography,courses_PLO8,
142-378,Game Programming,courses_PLO8,
142-380,Frontend Web Application Development,courses_PLO8,
142-384,Content Mangement System,courses_PLO8,
142-387,Advanced Game Programming,courses_PLO8,
142-388,Special Topic I,courses_PLO8,
142-389,New Media Techology,courses_PLO8,
142-390,Artificial Intelligence,courses_PLO8,
142-391,Special Topic II,courses_PLO8,
142-392,Infographic,courses_PLO8,
142-393,Identity Design (Branding),courses_PLO8,
142-394,Package Design,courses_PLO8,
142-395,Special Topic III,courses_PLO8,
142-396,Client/Server Application & Web Technology,courses_PLO8,
142-397,Typography,courses_PLO8,
142-398,Internet of Thing & Embedded Devices,courses_PLO8,
142-401,Cooperative Education in Digital Media,courses_PLO8,
142-455,Project in Digital Media and Animation II,courses_PLO8,
142-456,Display Design (Exhibition) & Curratorship,courses_PLO8,
142-142,Basic Programming,courses_PLO9,
142-145,Script Writing and Storyboarding,courses_PLO9,
142-150,Objected Oriented Programming,courses_PLO9,
